source,raw_source_file,scraped_date,reporting_period,fund_name,gp_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,total_value,tvpi,dpi,net_irr
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,3i Group plc,3i Group plc,,,,30080155.63,,,,,0.0743
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,3i Group plc,3i Group plc,,,,39931945.96,,,,,0.0767
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,3i Group plc,3i Group plc,,,,34856824.17,,,,,0.0258
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,3i Group plc,3i Group plc,,,,44469711.42,,,,,0.1965
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,3i Group plc,3i Group plc,,,,3136724.93,,,,,-0.2679
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Actis Capital,Actis Capital,,,,2510.33,,,,,0.0607
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Actis Capital,Actis Capital,,,,83632.46,,,,,-0.086
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Advanced Technology Ventures,Advanced Technology Ventures,,,,5484043.67,,,,,-0.0066
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,American Securities Capital,American Securities Capital,,,,58146433.09,,,,,0.1992
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,American Securities Capital,American Securities Capital,,,,36188158.51,,,,,0.2226
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Ampersand Ventures,Ampersand Ventures,,,,18163611.76,,,,,0.0336
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Ampersand Ventures,Ampersand Ventures,,,,37228710.79,,,,,0.1608
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Ampersand Ventures,Ampersand Ventures,,,,17025880.0,,,,,0.177
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Ampersand Ventures,Ampersand Ventures,,,,0.0,,,,,0.0458
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Angelo Gordon & Co.,Angelo Gordon & Co.,,,,21874250.0,,,,,0.2873
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Angelo Gordon & Co.,Angelo Gordon & Co.,,,,3100000.0,,,,,-0.0186
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Angelo Gordon & Co.,Angelo Gordon & Co.,,,,450000.0,,,,,-0.1623
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Apollo Management,Apollo Management,,,,12949998.0,,,,,-0.0115
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,ARCH Venture Partners,ARCH Venture,,,,1060122.86,,,,,0.0504
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,ARCH Venture Partners,ARCH Venture,,,,258.28,,,,,-0.2481
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,ArcLight Capital Partners,ArcLight Capital,,,,45070994.0,,,,,0.2395
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,ArcLight Capital Partners,ArcLight Capital,,,,50910821.0,,,,,0.1474
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,ArcLight Capital Partners,ArcLight Capital,,,,12139865.0,,,,,0.0202
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,ArcLight Capital Partners,ArcLight Capital,,,,4749487.0,,,,,-0.0145
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Artiman Ventures,Artiman Ventures,,,,0.0,,,,,-0.113
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Ashmore Investment Management,Ashmore Investment Management,,,,0.0,,,,,-0.0726
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Atlas Venture,Atlas Venture,,,,2741270.81,,,,,-0.0785
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Austin Ventures,Austin Ventures,,,,42082013.24,,,,,0.7314
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Austin Ventures,Austin Ventures,,,,29402273.79,,,,,0.3193
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Austin Ventures,Austin Ventures,,,,9895443.05,,,,,-0.0672
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Austin Ventures,Austin Ventures,,,,7258728.74,,,,,-0.0853
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Austin Ventures,Austin Ventures,,,,5391484.64,,,,,0.0083
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Austin Ventures,Austin Ventures,,,,1014104.9,,,,,-0.0254
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Austin Ventures,Austin Ventures,,,,0.0,,,,,-0.1121
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Avenue Capital Group,Avenue Capital Group,,,,2823995.0,,,,,0.0237
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Avenue Capital Group,Avenue Capital Group,,,,652446.0,,,,,0.0131
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Baker Capital,Baker Capital,,,,19101614.65,,,,,0.0021
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Baker Capital,Baker Capital,,,,8274213.87,,,,,-0.0294
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Band of Angels,Band of Angels,,,,0.0,,,,,-0.1404
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Barclays Private Equity,Barclays Private Equity,,,,50423360.35,,,,,0.3419
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Barclays Private Equity,Barclays Private Equity,,,,97567.03,,,,,-0.1206
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Baring Private Equity Asia,Baring Private Equity Asia,,,,12448.93,,,,,-0.0144
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Beacon Focus Value Investors,Beacon Focus Value Investors,,,,6801304.88,,,,,-0.1614
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Blackstone Group,Blackstone Group,,,,67501590.15,,,,,0.4003
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Blackstone Group,Blackstone Group,,,,5485856.0,,,,,-0.1409
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Candover Partners,Candover,,,,61269562.34,,,,,0.1782
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Candover Partners,Candover,,,,5173852.03,,,,,-0.2751
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Care Capital,Care Capital,,,,0.0,,,,,-0.3105
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,The Carlyle Group,The Carlyle Group,,,,25271976.0,,,,,0.2512
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,The Carlyle Group,The Carlyle Group,,,,48839455.0,,,,,0.2138
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,The Carlyle Group,The Carlyle Group,,,,6045819.0,,,,,-0.0107
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,The Carlyle Group,The Carlyle Group,,,,394676.0,,,,,-0.1127
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,CarVal Investors,CarVal Investors,,,,1312527.49,,,,,-0.0134
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,CarVal Investors,CarVal Investors,,,,0.0,,,,,0.0842
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,"847 rows from 2009–2023 reports)""","847 rows from 2009–2023 reports)""",,,,,,,,,
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Sequoia Capital,Sequoia Capital,,,,0.0,,,,,0.0
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,a16z,a16z,,,,0.0,,,,,0.0
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Union Square Ventures,Union Square Ventures,,,,0.0,,,,,0.0
UTIMCO,utimco_consolidated - 1.csv - Sheet1.csv,2026-02-19,,Peak XV Partners,Peak XV,,,,0.0,,,,,0.0
